No,Cara Mengatasi,Rekomendasi
1,Gunakan sabun berbahan lembut,11
2,Menghindari mandi terlalu lama dengan air panas,11
3,Lindungi kulit dari udara dingin,11
4,Lakukan eksfoliasi,11
5,Gunakan pelembap yang mengandung minyak alami seperti olive oil,11
6,Mengurangi ekfoliasi / mengosok kulit berlebih,11
7,Gunakan cleansing foam untuk mencuci muka,12
8,Gunakan pembersih dan pelembab merawat kulitnya dengan menggunakan pembersih dan pelembap,12
9,Pastikan kulit wajah tetap terhidrasi dengan minum yang cukup.,12
10,Selalu gunakan tabir surya untuk melindungi kulit dari sinar UV yang dapat menyebabkan kulit kering,12
11,Gunakan serum pada pagi hari dan malam hari,12
12,Menggunakan Sunscreen min SPF 30 setiap beraktivitas,12
13,Gunakan pembersih wajah yang menyerap minyak,13
14,"Gunakan blotting paper atau kertas minyak, berfungsi untuk menyerap minyak dari kulit.",13
15,Menggunakan tabir surya,13
16,Menggunakan pelembap secara rutin,13
17,Gunakan toner yang mengandung salicylic acid,13
18,Scrub wajah minimal 2 kali seminggu,13
19,Batasi paparan sinar matahari dan gunakan tabir surya,14
20,"bersihkan wajah dua kali sehari, yakni pada pagi hari dan sebelum tidur",14
21,Jalani pola hidup sehat,14
22,Perbanyak minum air putih,14
23,"Gunakan produk pelembab yang mengandung petroleum, dimethicone, hyaluronic acid, ceramide, atau niacinamide",14
24,Hindari mengunakan produk yang mengandung alkohol,14
25,Oleskan minyak kelapa sebagai masker alami,21
26,"makanan dan camilan yang dapat meningkatkan kadar gula darah dapat memicu insulin berlebih dalam tubuh. Bila hal ini terjadi, metabolisme mengalami perubahan yang menghambat penyembuhan jerawat.",21
27,Terapkan diet rendah glikemik,21
28,Gunakan produk yang non comedogenic,21
29,"Mengurangi makanan dan camilan yang dapat meningkatkan kadar gula darah dapat memicu insulin berlebih dalam tubuh. Bila hal ini terjadi, metabolisme mengalami perubahan yang menghambat penyembuhan jerawat.",21
30,Double Cleansing setiap 2 kali sehari,21
31,Gunakan tabir surya dengan SPF 30,22
32,"Mentimun kaya akan kalium dan mengandung sejumlah karoten, vitamin C, vitamin B1, protein sehingga minum jus mentimun secara rutin dapat menghilangkan flek hitam pada wajah.",22
33,Jangan Lewatkan Cream Malam,22
34,Mulai gunakan sunscreen,22
35,Gunakan Masker berbahan dasar Charcoal,22
36,Gunkan serum pencerah yang mengandung Glutathione,22
37,Kompres mata dengan es batu,23
38,Menghindari konsumsi alkohol,23
39,Mengompres dengan kantong teh celup,23
40,Mencukupi kebutuhan cairan dalam tubuh,23
41,Gunakan krim mata secara rutin,23
42,Tidur yang cukup (minimal 4 - 5 jam),23
43,Menggunakan gel berbahan aloevera,24
44,gunakan vitamin C dalam bentuk L-ascorbic acid,24
45,Menghindari paparan sinar matahari,24
46,Pakai produk perawatan kulit yang tepat,24
47,Gunakan serum yang mengandung retinol,24
48,Minum-minuman yang mengadung kolagen,24
