No,Produk,Gambar,Link Beli,Rekomendasi
1,Oilum Body Wash Hydrating Care,Gambar/11_Dry/1.png,https://www.tokopedia.com/mrgudik/sabun-collagen-oilum-body-wash-hydrating-care-bottle?src=topads,11
2,Skin Aqua UV Moisture Milk,Gambar/11_Dry/2.png,https://www.tokopedia.com/sqinbeauty/skin-aqua-uv-moisture-milk-spf50-40ml-sunscreen-sunblok?src=topads,11
3,Wardah Hydrating Aloe Vera Gel,Gambar/11_Dry/3.png,https://shopee.co.id/Wardah-Hydrating-Aloe-Vera-Gel-i.5139506.1000629366?sp_atk=043f11ea-3421-4d91-8e55-ea0fa2b3eb8f&xptdk=043f11ea-3421-4d91-8e55-ea0fa2b3eb8f,11
4,Nivea Face Wash Honey Dry Skin,Gambar/11_Dry/4.png,https://www.amazon.com/NIVEA-Delights-Moisturizing-Honey-100ml/dp/B07LCSBVJY,11
5,Mustika Ratu Minyak Zaitun,Gambar/11_Dry/5.png,https://www.tokopedia.com/mustika-ratu/mustika-ratu-best-seller-perawatan-kulit-minyak-zaitun-175ml?extParam=ivf%3Dfalse%26src%3Dsearch,11
6,Wardah Hydrating Aloe Vera Gel,Gambar/11_Dry/6.png,https://www.tokopedia.com/mimistore28/wardah-aloe-hydramild-multifunction-gel-100ml,11
7,Wardah Nature Daily Mineral + Clarifying Facial Foam,Gambar/12_Normal/1.png,https://www.tokopedia.com/beautykartika/wardah-nature-daily-mineral-clarifying-facial-foam-100ml,12
8,Wardah Lightening Series,Gambar/12_Normal/2.png,https://shopee.co.id/Wardah-Lightening-Series-Original-100--i.158870484.5233794439,12
9,Brightening lengkap/inusa skincare for normal skin,Gambar/12_Normal/3.png,https://shopee.co.id/Brightening-lengkap-inusa-skincare-for-normal-skin-i.201780068.5224696751,12
10,Ponds Men White Boost,Gambar/12_Normal/4.png,https://www.tokopedia.com/watsons/ponds-men-face-scrub-white-boost-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,12
11,Somethinc Hyluronic Acid,Gambar/12_Normal/5.png,https://www.tokopedia.com/ladylipstique/somethinc-hyaluronic-9-advanced-b5-serum-original-bpom,12
12,Skin Aqua UV Milk,Gambar/12_Normal/6.png,https://shopee.co.id/Skin-Aqua-UV-Moisture-Milk-SPF-50-PA--i.15452541.573389100,12
13,Erha 2 Facial Wash for Oily Skin,Gambar/13_Oily/1.png,https://www.tokopedia.com/charmed-id/erha-2-erha21-facial-wash-for-oily-skin-60ml-sabun-wajah-berminyak,13
14,Wardah Crystallure Supreme Revitalizing Oil,Gambar/13_Oily/2.png,Jual Wardah Crystallure Supreme Revitalizing Oil Serum Indonesia|Shopee Indonesia,13
15,ElsheSkin Deep Cleansing,Gambar/13_Oily/3.png,https://shopee.co.id/ElsheSkin-Deep-Cleansing-i.9035345.837403065?sp_atk=2a6464fe-54c0-4819-b750-84cd56da8bb3&xptdk=2a6464fe-54c0-4819-b750-84cd56da8bb3,13
16,Garnier Men Oil Clear Face Wash,Gambar/13_Oily/4.png,https://www.tokopedia.com/exborders/garnier-men-oil-clear-face-wash-100g-100gm,13
17,Avoskin Your Skin Bae Toner Salicylic Acid,Gambar/13_Oily/5.png,https://www.tokopedia.com/avoskinofficial/avoskin-yor-skin-bae-toner-salicylic-acid-1-zinc-tea-tree-water?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D7377294,13
18,St. Ives Fresh Skin Apricot Scrub,Gambar/13_Oily/6.png,https://shopee.co.id/St--Ives---St-Ives-Apricot-Scrub-170gr---Share-30gr-i.5879194.398455393?gclid=Cj0KCQjw4PKTBhD8ARIsAHChzRKZym9Tbej6JV6fnd-pNLlsFQAX0FzdGGy7HbxM0PCuEO_5R4Y4mMMaAkdnEALw_wcB,13
19,Sensatia Botanicals Surf Naked Sunscreen Lotion,Gambar/14_Sensitive/1.png,https://www.tokopedia.com/sensatia/sensatia-botanicals-surf-naked-sunscreen-lotion-100ml,14
20,Wardah Lightening Facial Whip Foam,Gambar/14_Sensitive/2.png,Promo Wardah Lightening Whip Facial Foam - Pembersih Wajah - 100 ml - - Wardah Official | Tokopedia,14
21,NOW - Grapeseed Sensitive Skin Care Oil - 118 ml,Gambar/14_Sensitive/3.png,https://www.tokopedia.com/orifix/now-solutions-grapeseed-oil-100-pure-sensitive-skin-care-118-ml,14
22,pond's men white boost,Gambar/14_Sensitive/4.png,https://www.tokopedia.com/watsons/ponds-men-face-scrub-white-boost-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,14
23,Vaseline Petroleum Jelly,Gambar/14_Sensitive/5.png,https://www.tokopedia.com/unilevermall/vaseline-petroleum-jelly-original-100ml-repairing-jelly-kulit-rusak?extParam=ivf%3Dfalse%26src%3Dsearch,14
24,Toner Skin 1004,Gambar/14_Sensitive/6.png,https://www.tokopedia.com/reinecosmeticid/skin1004-madagascar-centella-asiatica-toning-toner-400ml-210ml-30ml-210ml,14
25,Virgin Coconut Oil VCO Saheela,Gambar/21_Acne/1.png,https://www.tokopedia.com/fudholahshop/virgin-coconut-oil-vco-saheela-500-ml?utm_campaign=Product%2520Share&utm_source=Desktop&utm_medium=Share&_branch_match_id=1024519773795908989&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXL8nPzi9ITclM1MvJzMvWT0vKL68M9CuNKkgCABKBuQIiAAAA,21
26,Wardah Seaweed Cleansing Micellar Water,Gambar/21_Acne/2.png,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-seaweed-cleansing-micellar-water,21
27,YOU Hy! Amino Anti Acne Facial Wash Sabun Cuci Muka Acnes Facial Wash Bekas Jerawat,Gambar/21_Acne/3.png,https://shopee.co.id/YOU-Hy!-Amino-Anti-Acne-Facial-Wash-Sabun-Cuci-Muka-Acnes-Facial-Wash-Bekas-Jerawat-i.72375863.14266733286?sp_atk=53b229fa-e191-438e-bd8a-de34835341b4&xptdk=53b229fa-e191-438e-bd8a-de34835341b4,21
28,Erha Acneact Acne Sunscreen SPF 30,Gambar/21_Acne/4.png,https://www.tokopedia.com/erha-store/erha-acneact-acne-sun-friendly-spf-30-pa-30g-sunscreen-sunblock?src=topads,21
29,Benzolac 2 1/2% Benzoyl Peroxide,Gambar/21_Acne/5.png,https://www.tokopedia.com/century-online/benzolac-2-1-2-obat-jerawat-5gr-spot-gel-bekas-jerawat?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D10998247,21
30,Scarlet Acne Facial Wash,Gambar/21_Acne/6.png,https://shopee.co.id/Scarlett-Whitening-Acne-Facial-Wash-i.39479320.12088756588?gclid=Cj0KCQjw4PKTBhD8ARIsAHChzRJnWZU12tMbSKfmmum3y66XqEF5XW42kWF-7hmqSwQvKJLl3NpmZVEaAihXEALw_wcB,21
31,Emina Sun Protection Sunscreen SPF 30,Gambar/22_Black Spots/1.png,https://www.tokopedia.com/bellsneedbag/emina-sun-protection-sunscreen-spf-30-6ml,22
32,Wardah White Secret Series,Gambar/22_Black Spots/2.png,https://www.tokopedia.com/joeragancosmetic-1/wardah-white-secret-series-day-cream-serum-facial-wash-night-cream-f-wash-aha100ml?extParam=ivf%3Dfalse%26src%3Dsearch,22
33,GEN Acne-&-Black-Spots-GEL,Gambar/22_Black Spots/3.png,https://shopee.co.id/GEN-Acne-Black-Spots-GEL-(For-All-Skin-Types)-10gr-i.188839838.4512959464?sp_atk=9f56c667-1ddc-42cc-810f-25f1300d599f&xptdk=9f56c667-1ddc-42cc-810f-25f1300d599f,22
34,NIVEA MEN Personal Care Men Extra White Dark Spot Minimizer Facial Foam,Gambar/22_Black Spots/4.png,https://shopee.co.id/NIVEA-MEN-Personal-Care-Men-Extra-White-Dark-Spot-Minimizer-Facial-Foam-100-ml-i.39283823.606323140,22
35,Mugwortella Charcoal Deep Pore Cleansing 10 Minutes Wash Off Mask,Gambar/22_Black Spots/5.png,https://www.tokopedia.com/somethinc/mugwortella-charcoal-deep-pore-cleansing-10-minutes-wash-off-mask-60gr-spatula?extParam=ivf%3Dfalse%26src%3Dsearch,22
